"gid","osm_id","class_id","source","target","length","reverse","maxspeed_forward","maxspeed_backward","priority","geom"
"15549","893212414","106","3520802744","3520802750","246.1521647316645","-1",,,"1.2","LINESTRING(126.5779637 45.726178, 126.5794899 45.725061)"
"15550","893212415","104","8301708061","8301725119","1698.851867834991","-1","50","50","1.1","LINESTRING(126.5473699 45.7051186, 126.54953 45.7067755, 126.5517369 45.7084101, 126.554668 45.7106002, 126.5556578 45.7113665, 126.5578541 45.712859)"
"15551","893212415","104","8301725119","8301708090","4053.7425892464057","-1","50","50","1.1","LINESTRING(126.5578541 45.712859, 126.5583754 45.7132133, 126.5594716 45.7139278, 126.5610661 45.7149703, 126.5630937 45.7163004, 126.5665511 45.7185457, 126.5696749 45.7205808, 126.5719958 45.7220954, 126.5745045 45.7237371, 126.5760607 45.7247418, 126.5762657 45.7248863, 126.5765455 45.7250763, 126.5768694 45.7253265, 126.5771588 45.7255633, 126.577337 45.7257346, 126.5775325 45.7259326, 126.577682 45.7260971, 126.5778181 45.7262563, 126.5789909 45.7276063, 126.5791512 45.7277932, 126.5793371 45.7279751, 126.5796172 45.7281999, 126.5799019 45.7284436, 126.580223 45.7286782, 126.580423 45.728831, 126.5808637 45.7291407, 126.5833977 45.7308577)"
"15552","893212416","104","418797815","8301708061","107.64279070089553","-1",,,"1.1","LINESTRING(126.5466785 45.7046465, 126.5473699 45.7051186)"
"15553","893212417","104","8301725118","8301725126","2009.1924325022005","-1","50","50","1.1","LINESTRING(126.5833186 45.7309181, 126.5807794 45.7292076, 126.5803203 45.7289032, 126.5798235 45.7285345, 126.5794573 45.7282354, 126.5792633 45.7280452, 126.5788326 45.7275747, 126.5776854 45.7262347, 126.5773062 45.7258213, 126.5767538 45.72534, 126.5762302 45.724948, 126.5713389 45.7217958, 126.5711816 45.721692)"
"15554","893212417","104","8301725126","8301725117","3745.928266211185","-1","50","50","1.1","LINESTRING(126.5711816 45.721692, 126.5670339 45.7189532, 126.5564855 45.7120782, 126.5555785 45.7113998, 126.5550634 45.7110294, 126.5535136 45.709838, 126.5511697 45.7080954, 126.54812 45.705835, 126.5472691 45.7051794)"
"15555","893212420","104","8301725119","8301725124","620.4980414913148","-1",,,"1.1","LINESTRING(126.5578541 45.712859, 126.5580721 45.7129416, 126.5584578 45.7131788, 126.5595727 45.7138905, 126.56096 45.7148057, 126.5619734 45.7154729)"
"15556","893212421","104","8301725126","8301725130","668.8419982337336","-1",,,"1.1","LINESTRING(126.5711816 45.721692, 126.570747 45.7214654, 126.5702803 45.7211857, 126.5688031 45.7202174, 126.5667271 45.7188802)"
"15557","893212422","104","5905841115","7988056398","794.5738996538398","-1",,,"1.1","LINESTRING(126.5647025 45.7171739, 126.5654333 45.7176167, 126.5694195 45.7202575, 126.5699078 45.7205829)"
"15558","893212422","104","7988056398","7988056392","38.92216713993449","-1",,,"1.1","LINESTRING(126.5699078 45.7205829, 126.5701576 45.7207537)"
